PROJECT;DISCIPLINE;NAME OF TEMPLATE;CRITERIA;COLOUR;LINE;TubeFlag;INSULATION;ADDE;SCALE;DIRECTION;RPLB;RRUL;STYF
SOL;INSTRU;/TMPL-TPI/INSTRU/TYPE_20; ALL ZONE WITH ( ATTRIB PURP OF SITE  EQ 'IN' AND MAT ( ATTRIB NAME , 'INS-OFFLINE' ) GT 0 );Yellow;Solid;FALSE;FALSE;/IN-ZONE-WNInsOffline;2/100;D;/TPI-RRST/INSTRU/TYPE_20;/IN-ZONE-WNInsOffline/INSTRU/TYPE_20;/Yellow-SolThin-Nothing
SOL;INSTRU;/TMPL-TPI/INSTRU/TYPE_20; ALL INSTRUMENT WITH ( ATTRIB PURP OF SITE  EQ 'PI' AND MAT ( ATTRIB STYP , 'Diaphragm' ) GT 0 AND NOT MAT ( ATTRIB NAME , 'PCV' ) GT 0 );Magenta;Solid;TRUE;TRUE;/PI-INST-WDiaNotPcv;2/100;D;/TPI-RRST/INSTRU/TYPE_20;/PI-INST-WDiaNotPcv/INSTRU/TYPE_20;/Magenta-SolThin-TubePSCInsu
SOL;INSTRU;/TMPL-TPI/INSTRU/TYPE_20; ALL INSTRUMENT WITH ( ATTRIB PURP OF SITE  EQ 'PI' AND MAT ( ATTRIB STYP , 'Pneumatic' ) GT 0 AND NOT MAT ( ATTRIB NAME , 'PCV' ) GT 0 );Magenta;Solid;TRUE;TRUE;/PI-INST-WPneuNotPCV;2/100;D;/TPI-RRST/INSTRU/TYPE_20;/PI-INST-WPneuNotPCV/INSTRU/TYPE_20;/Magenta-SolThin-TubePSCInsu
SOL;INSTRU;/TMPL-TPI/INSTRU/TYPE_20; ALL ZONE WITH ( ATTRIB PURP OF SITE  EQ 'IN' AND MAT ( ATTRIB NAME , 'FRM' ) GT 0 );Yellow;Solid;FALSE;FALSE;/IN-ZONE-WNameFRM;2/100;D;/TPI-RRST/INSTRU/TYPE_20;/IN-ZONE-WNameFRM/INSTRU/TYPE_20;/Yellow-SolThin-Nothing
SOL;INSTRU;/TMPL-TPI/INSTRU/TYPE_21; ALL PIPE WITH ( ATTRIB PURP OF SITE  EQ 'PI' );Grey;Solid;TRUE;FALSE;/PI-PIPE-ALL;2/100;D;/TPI-RRST/INSTRU/TYPE_21;/PI-PIPE-ALL/INSTRU/TYPE_21;/Grey-SolThin-TubflagPsy
SOL;INSTRU;/TMPL-TPI/INSTRU/TYPE_21; ALL ZONE WITH ( ATTRIB PURP OF SITE  EQ 'IN' AND MAT ( ATTRIB NAME , 'INS-OFFLINE' ) GT 0 );Yellow;Solid;FALSE;FALSE;/IN-ZONE-WNInsOffline;2/100;D;/TPI-RRST/INSTRU/TYPE_21;/IN-ZONE-WNInsOffline/INSTRU/TYPE_21;/Yellow-SolThin-Nothing
SOL;INSTRU;/TMPL-TPI/INSTRU/TYPE_30; ALL ZONE WITH ( ATTRIB PURP OF SITE  EQ 'IN' AND MAT ( ATTRIB NAME , 'AIR' ) GT 0 );Yellow;Solid;FALSE;FALSE;/IN-ZONE-WNameAIR;2/100;D;/TPI-RRST/INSTRU/TYPE_30;/IN-ZONE-WNameAIR/INSTRU/TYPE_30;/Yellow-SolThin-Nothing
SOL;INSTRU;/TMPL-TPI/INSTRU/TYPE_30; ALL INSTRUMENT WITH ( ATTRIB PURP OF SITE  EQ 'PI' AND MAT ( ATTRIB STYP , 'Diaphragm' ) GT 0 AND NOT MAT ( ATTRIB NAME , 'PCV' ) GT 0 );Magenta;Solid;TRUE;TRUE;/PI-INST-WDiaNotPcv;2/100;D;/TPI-RRST/INSTRU/TYPE_30;/PI-INST-WDiaNotPcv/INSTRU/TYPE_30;/Magenta-SolThin-TubePSCInsu
SOL;INSTRU;/TMPL-TPI/INSTRU/TYPE_30; ALL INSTRUMENT WITH ( ATTRIB PURP OF SITE  EQ 'PI' AND MAT ( ATTRIB STYP , 'Pneumatic' ) GT 0 AND NOT MAT ( ATTRIB NAME , 'PCV' ) GT 0 );Magenta;Solid;TRUE;TRUE;/PI-INST-WPneuNotPCV;2/100;D;/TPI-RRST/INSTRU/TYPE_30;/PI-INST-WPneuNotPCV/INSTRU/TYPE_30;/Magenta-SolThin-TubePSCInsu
SOL;INSTRU;/TMPL-TPI/INSTRU/TYPE_31; ALL ZONE WITH ( ATTRIB PURP OF SITE  EQ 'IN' AND MAT ( ATTRIB NAME , 'AIR' ) GT 0 );Yellow;Solid;FALSE;FALSE;/IN-ZONE-WNameAIR;2/100;D;/TPI-RRST/INSTRU/TYPE_30;/IN-ZONE-WNameAIR/INSTRU/TYPE_30;/Yellow-SolThin-Nothing
SOL;INSTRU;/TMPL-TPI/INSTRU/TYPE_31; ALL INSTRUMENT WITH ( ATTRIB PURP OF SITE  EQ 'PI' AND MAT ( ATTRIB STYP , 'Diaphragm' ) GT 0 AND NOT MAT ( ATTRIB NAME , 'PCV' ) GT 0 );Magenta;Solid;TRUE;TRUE;/PI-INST-WDiaNotPcv;2/100;D;/TPI-RRST/INSTRU/TYPE_30;/PI-INST-WDiaNotPcv/INSTRU/TYPE_30;/Magenta-SolThin-TubePSCInsu
SOL;INSTRU;/TMPL-TPI/INSTRU/TYPE_31; ALL INSTRUMENT WITH ( ATTRIB PURP OF SITE  EQ 'PI' AND MAT ( ATTRIB STYP , 'Pneumatic' ) GT 0 AND NOT MAT ( ATTRIB NAME , 'PCV' ) GT 0 );Magenta;Solid;TRUE;TRUE;/PI-INST-WPneuNotPCV;2/100;D;/TPI-RRST/INSTRU/TYPE_30;/PI-INST-WPneuNotPCV/INSTRU/TYPE_30;/Magenta-SolThin-TubePSCInsu
